id,text,label
1,You somehow make my ordinary days feel special.,flirt
2,Why do you look so good every time I see you?,flirt
3,I think my phone smiles whenever your name pops up.,flirt
4,Talking to you is becoming my favorite habit.,flirt
5,"Are you always this charming, or is it just with me?",flirt
6,I was having a boring day until you texted me.,flirt
7,You have no idea how cute you are.,flirt
8,I think you owe me a smile today.,flirt
9,Your messages always make me smile.,flirt
10,Is it possible to miss someone this quickly?,flirt
11,"I was going to sleep, but then I started thinking about you.",flirt
12,You make it really difficult to concentrate.,flirt
13,"Somehow, you keep appearing in my thoughts.",flirt
14,I think you have officially become my favorite notification.,flirt
15,Can I borrow your smile for the rest of the day?,flirt
16,You're dangerously easy to like.,flirt
17,"I don't know what you did, but I'm definitely interested.",flirt
18,Your presence has a strange effect on me.,flirt
19,I could talk to you all night and still want more conversation.,flirt
20,You make being distracted feel completely worth it.,flirt
21,Why does talking to you feel so effortless?,flirt
22,I think you're becoming a little too important to me.,flirt
23,Your smile should come with a warning.,flirt
24,"I wasn't planning on catching feelings, but here we are.",flirt
25,You have a talent for making me smile without trying.,flirt
26,Every conversation with you leaves me wanting another one.,flirt
27,"If being cute were a crime, you'd be in serious trouble.",flirt
28,I think my day improves whenever you text me.,flirt
29,You're probably the reason I've been smiling at my phone.,flirt
30,Do you realize how adorable you are?,flirt
31,I didn't expect to like talking to you this much.,flirt
32,"Somehow, you always know how to make me smile.",flirt
33,You're definitely becoming my favorite person to chat with.,flirt
34,I think your name looks especially good on my screen.,flirt
35,I wish you were here so we could talk instead of texting.,flirt
36,You're making it very hard for me to play it cool.,flirt
37,I think I like you a little more every day.,flirt
38,Your texts have become the highlight of my day.,flirt
39,Can we skip the small talk and get to the part where we smile at each other?,flirt
40,I have a confession: I look forward to your messages.,flirt
41,You make me curious about what it would be like to spend a whole day together.,flirt
42,I think we'd make a pretty good conversation team.,flirt
43,You have such a naturally attractive personality.,flirt
44,I wasn't expecting you to become this interesting.,flirt
45,You somehow manage to stay on my mind.,flirt
46,I think you owe me a coffee for being this distracting.,flirt
47,Your smile is seriously unfair.,flirt
48,I could get used to having you around.,flirt
49,You make ordinary conversations feel exciting.,flirt
50,I think we're getting dangerously good at this flirting thing.,flirt
51,Why are you so easy to talk to?,flirt
52,You might be my favorite distraction.,flirt
53,I didn't know one person could make me smile this much.,flirt
54,"If I had a rupee for every time I thought about you, I'd be rich.",flirt
55,You have a way of making my heart skip a beat.,flirt
56,Your voice is one of my favorite sounds.,flirt
57,I think seeing you would instantly improve my mood.,flirt
58,You're the kind of person I'd happily get lost in conversation with.,flirt
59,I wonder if you smile when you see my messages too.,flirt
60,You make texting feel way more interesting than it should.,flirt
61,I think you secretly enjoy making me blush.,flirt
62,You're becoming quite difficult to ignore.,flirt
63,I have a feeling we'd have a lot of fun together.,flirt
64,You bring a little extra happiness wherever you go.,flirt
65,Why does every conversation with you feel special?,flirt
66,I think you have officially stolen my attention.,flirt
67,You're definitely someone I'd like to know better.,flirt
68,Your personality is seriously attractive.,flirt
69,I keep finding excuses to message you.,flirt
70,Maybe we should stop pretending this isn't flirting.,flirt
71,You make me want to check my phone way too often.,flirt
72,I think your smile deserves its own fan club.,flirt
73,You have an impressive ability to brighten my mood.,flirt
74,Talking to you is becoming a dangerous addiction.,flirt
75,"I didn't plan on smiling today, but then you texted me.",flirt
76,"You're cute, and I hope you know it.",flirt
77,I think we'd look pretty good laughing together.,flirt
78,Your messages have a suspiciously positive effect on me.,flirt
79,I might be developing a tiny crush on you.,flirt
80,You're making it really difficult to keep this conversation innocent.,flirt
81,"If I could choose one person to talk to right now, it would be you.",flirt
82,You always seem to arrive at exactly the right time.,flirt
83,I think you're becoming my favorite part of the day.,flirt
84,I like the way you make conversations feel effortless.,flirt
85,You're honestly one of the most interesting people I've met.,flirt
86,I think your smile is my new favorite sight.,flirt
87,You have a very charming way of talking.,flirt
88,I wouldn't mind spending a little more time with you.,flirt
89,You somehow make waiting for a reply exciting.,flirt
90,I think I'm starting to look forward to seeing you.,flirt
91,You make my heart do unnecessary things.,flirt
92,I have a feeling you're going to become difficult to forget.,flirt
93,You're way too good at getting my attention.,flirt
94,I like talking to you more than I probably should.,flirt
95,You have no business being this adorable.,flirt
96,I think we have dangerously good chemistry.,flirt
97,Your messages are becoming my favorite interruptions.,flirt
98,I wouldn't complain if you stayed in my life for a while.,flirt
99,You make me want to know everything about you.,flirt
100,I think I just found another reason to smile: you.,flirt
101,"If charm were a superpower, you'd be unstoppable.",flirt
102,I wonder how many smiles you've caused today.,flirt
103,You make even a simple “hi” sound interesting.,flirt
104,I think you might be my favorite person to tease.,flirt
105,You're making it surprisingly easy to catch feelings.,flirt
106,"I don't usually flirt this much, but you make it tempting.",flirt
107,I think we'd have some unforgettable conversations.,flirt
108,You make my phone feel more interesting.,flirt
109,I could definitely get addicted to your company.,flirt
110,You're the kind of distraction I wouldn't mind having.,flirt
111,I think your smile has become a regular visitor in my thoughts.,flirt
112,You make me want to cancel my plans and keep talking.,flirt
113,I like your vibe more than I expected.,flirt
114,You have an effortlessly charming personality.,flirt
115,I think you just made my day better.,flirt
116,You should probably stop being this cute; it's distracting.,flirt
117,I think I have a weakness for people like you.,flirt
118,You're making “just friends” sound suspiciously complicated.,flirt
119,I wouldn't mind receiving a good-morning text from you every day.,flirt
120,You make late-night conversations way too tempting.,flirt
121,I think we need to meet soon and see if the chemistry is real.,flirt
122,Your name popping up on my screen never gets old.,flirt
123,I like how easily you make me laugh.,flirt
124,You have a habit of making me forget what I was about to say.,flirt
125,I think you're slowly becoming my favorite person.,flirt
126,You're surprisingly good at stealing my attention.,flirt
127,I wouldn't mind being your favorite notification too.,flirt
128,You make ordinary moments feel a little more exciting.,flirt
129,I think your smile could fix a bad day.,flirt
130,"I have to admit, you're pretty hard to resist.",flirt
131,You're definitely someone I wouldn't mind getting closer to.,flirt
132,I think our conversations deserve to continue offline someday.,flirt
133,You have a very dangerous combination of charm and cuteness.,flirt
134,I keep smiling whenever I remember our conversations.,flirt
135,You're making me wonder whether this is becoming something more.,flirt
136,I think you might be my favorite “what if?”,flirt
137,Your texts somehow always arrive when I need a smile.,flirt
138,I like the way you make me feel when we talk.,flirt
139,You have a way of making me want to stay up longer.,flirt
140,I think you're becoming a little too easy to miss.,flirt
141,"If I said I was thinking about you, would you smile?",flirt
142,I wouldn't mind being the reason you smile today.,flirt
143,You're definitely someone I'd choose for a spontaneous coffee.,flirt
144,I think we'd make a pretty cute pair of troublemakers.,flirt
145,You have an oddly irresistible charm.,flirt
146,I think our conversations have a little spark.,flirt
147,You're making my “type” look suspiciously specific.,flirt
148,I hope you realize how much fun you are to talk to.,flirt
149,Maybe the universe knew what it was doing when it introduced us.,flirt
150,So... when are we finally going to turn these messages into a real conversation?,flirt
